,id:1-pv_input_voltage,id:1-pv_input_current,id:1-pv_output_voltage,id:1-pv_output_current,id:2-dcdc1_input_voltage,id:2-dcdc1_input_current,id:2-dcdc1_output_voltage,id:2-dcdc1_output_current,id:3-dcdc2_input_voltage,id:3-dcdc2_input_current,id:3-dcdc2_output_voltage,id:3-dcdc2_output_current,id:4-battery_voltage,id:4-battery_soc
38,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
39,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
40,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
41,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
42,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
43,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
44,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
45,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
46,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
47,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
48,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
49,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
50,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
51,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
52,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
53,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
54,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
55,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
56,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
57,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
58,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
59,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
60,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
61,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
62,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
63,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
64,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
65,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
66,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
67,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
68,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
69,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
70,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
71,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
72,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
73,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
74,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
75,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
76,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
77,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
78,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
79,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
80,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
81,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
82,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
83,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
84,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
85,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
86,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
87,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
88,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
89,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
90,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
91,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
92,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
93,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
94,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
95,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
96,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
97,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
98,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
99,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
100,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
101,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
102,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
103,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
104,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
105,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
106,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
107,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
108,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
109,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
110,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
111,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
112,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
113,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
114,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
115,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
116,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
